        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.60000000e+02,        +1.414213562373e-01,        +2.098414481605e-01,        +1.038062713523e-02,        -2.033459357383e-02,        +9.827115345782e-02,        +1.414213562373e-01,        -2.033459357383e-02,        +9.827115345782e-02,        +2.099636949236e-01,        +9.781815097751e-03
 2.62000000e+02,        +1.414213562373e-01,        +2.108825467837e-01,        +6.476825593086e-03,        -1.315516951234e-02,        +9.921698210566e-02,        +1.414213562373e-01,        -1.315516951234e-02,        +9.921698210566e-02,        +2.109658355750e-01,        +5.867348601457e-03
 2.64000000e+02,        +1.414213562373e-01,        +2.113463924203e-01,        +2.479828154423e-03,        -5.971722844678e-03,        +9.980324358945e-02,        +1.414213562373e-01,        -5.971722844678e-03,        +9.980324358945e-02,        +2.113899211133e-01,        +1.863242109021e-03
 2.66000000e+02,        +1.414213562373e-01,        +2.112278157951e-01,        -1.539510611052e-03,        +1.237002452279e-03,        +1.000344638384e-01,        +1.414213562373e-01,        +1.237002452279e-03,        +1.000344638384e-01,        +2.112310245955e-01,        -2.159581957080e-03
 2.68000000e+02,        +1.414213562373e-01,        +2.105261982590e-01,        -5.509926538624e-03,        +8.492329202375e-03,        +9.990386728080e-02,        +1.414213562373e-01,        +8.492329202375e-03,        +9.990386728080e-02,        +2.104887794260e-01,        -6.129771739807e-03
 2.70000000e+02,        +1.414213562373e-01,        +2.092458224775e-01,        -9.358675276783e-03,        +1.581341298112e-02,        +9.939339943510e-02,        +1.414213562373e-01,        +1.581341298112e-02,        +9.939339943510e-02,        +2.091677437650e-01,        -9.974477441875e-03
 2.72000000e+02,        +1.414213562373e-01,        +2.073967918796e-01,        -1.301060984304e-02,        +2.321489430400e-02,        +9.847393375717e-02,        +1.414213562373e-01,        +2.321489430400e-02,        +9.847393375717e-02,        +2.072783336595e-01,        -1.361843462444e-02
 2.74000000e+02,        +1.414213562373e-01,        +2.049965055905e-01,        -1.638756106268e-02,        +3.070436340903e-02,        +9.710575052483e-02,        +1.414213562373e-01,        +3.070436340903e-02,        +9.710575052483e-02,        +2.048383110665e-01,        -1.698335443830e-02
 2.76000000e+02,        +1.414213562373e-01,        +2.020716506680e-01,        -1.940819973590e-02,        +3.827959900887e-02,        +9.523942732576e-02,        +1.414213562373e-01,        +3.827959900887e-02,        +9.523942732576e-02,        +2.018747877347e-01,        -1.998780008678e-02
 2.78000000e+02,        +1.414213562373e-01,        +1.986606277944e-01,        -2.198858668207e-02,        +4.592559993880e-02,        +9.281732722856e-02,        +1.414213562373e-01,        +4.592559993880e-02,        +9.281732722856e-02,        +1.984266598438e-01,        -2.254775605023e-02
