        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.22000000e+02,        +1.414213562373e-01,        +7.919046620013e-02,        +1.948891789273e-02,        +4.559378669592e-02,        +8.832751968424e-02,        +1.414213562373e-01,        +4.559378669592e-02,        +8.832751968424e-02,        +7.920313847322e-02,        +1.950831266275e-02
 1.24000000e+02,        +1.414213562373e-01,        +8.283323045964e-02,        +2.190847032456e-02,        +5.272053863810e-02,        +8.521966546768e-02,        +1.414213562373e-01,        +5.272053863810e-02,        +8.521966546768e-02,        +8.285071225163e-02,        +2.192907974089e-02
 1.26000000e+02,        +1.414213562373e-01,        +8.687799316380e-02,        +2.375704102615e-02,        +5.983847169835e-02,        +8.152469749311e-02,        +1.414213562373e-01,        +5.983847169835e-02,        +8.152469749311e-02,        +8.690106850068e-02,        +2.377874751908e-02
 1.28000000e+02,        +1.414213562373e-01,        +9.124805548757e-02,        +2.495459517107e-02,        +6.689762871353e-02,        +7.717613936897e-02,        +1.414213562373e-01,        +6.689762871353e-02,        +7.717613936897e-02,        +9.127758442265e-02,        +2.497712132530e-02
 1.30000000e+02,        +1.414213562373e-01,        +9.584692633753e-02,        +2.542701375952e-02,        +7.382542592673e-02,        +7.211003201342e-02,        +1.414213562373e-01,        +7.382542592673e-02,        +7.211003201342e-02,        +9.588381870622e-02,        +2.544989054352e-02
 1.32000000e+02,        +1.414213562373e-01,        +1.005566868179e-01,        +2.511176460335e-02,        +8.052508555609e-02,        +6.627125363471e-02,        +1.414213562373e-01,        +8.052508555609e-02,        +6.627125363471e-02,        +1.006018650600e-01,        +2.513430219339e-02
 1.34000000e+02,        +1.414213562373e-01,        +1.052380568854e-01,        +2.396497293260e-02,        +8.687580014502e-02,        +5.962113530585e-02,        +1.414213562373e-01,        +8.687580014502e-02,        +5.962113530585e-02,        +1.052924071430e-01,        +2.398623796637e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.097329495909e-01,        +2.196939981267e-02,        +9.273539912335e-02,        +5.214589833918e-02,        +1.414213562373e-01,        +9.273539912335e-02,        +5.214589833918e-02,        +1.097972616995e-01,        +2.198820378844e-02
 1.38000000e+02,        +1.414213562373e-01,        +1.138701794320e-01,        +1.914240559691e-02,        +9.794617417081e-02,        +4.386500652866e-02,        +1.414213562373e-01,        +9.794617417081e-02,        +4.386500652866e-02,        +1.139450784429e-01,        +1.915730947431e-02
 1.40000000e+02,        +1.414213562373e-01,        +1.174746233017e-01,        +1.554255231726e-02,        +1.023441555989e-01,        +3.483810063231e-02,        +1.414213562373e-01,        +1.023441555989e-01,        +3.483810063231e-02,        +1.175604975849e-01,        +1.555189177502e-02
 1.42000000e+02,        +1.414213562373e-01,        +1.203794930552e-01,        +1.127323869228e-02,        +1.057714949820e-01,        +2.516891986193e-02,        +1.414213562373e-01,        +1.057714949820e-01,        +2.516891986193e-02,        +1.204764263514e-01,        +1.127517264915e-02
 1.44000000e+02,        +1.414213562373e-01,        +1.224405517872e-01,        +6.481846940293e-03,        +1.080907837550e-01,        +1.500469847841e-02,        +1.414213562373e-01,        +1.080907837550e-01,        +1.500469847841e-02,        +1.225482680882e-01,        +6.474428822770e-03
 1.46000000e+02,        +1.414213562373e-01,        +1.235503061021e-01,        +1.353441464380e-03,        +1.091993382250e-01,        +4.530084756395e-03,        +1.414213562373e-01,        +1.091993382250e-01,        +4.530084756394e-03,        +1.236681361946e-01,        +1.334708739500e-03
 1.48000000e+02,        +1.414213562373e-01,        +1.236497368387e-01,        -3.900926866184e-03,        +1.090410115614e-01,        -6.044357768825e-03,        +1.414213562373e-01,        +1.090410115614e-01,        -6.044357768825e-03,        +1.237766132726e-01,        -3.932853279780e-03
 1.50000000e+02,        +1.414213562373e-01,        +1.227352607225e-01,        -9.060023144250e-03,        +1.076132231209e-01,        -1.649777307605e-02,        +1.414213562373e-01,        +1.076132231209e-01,        -1.649777307605e-02,        +1.228697439998e-01,        -9.106840665935e-03
 1.52000000e+02,        +1.414213562373e-01,        +1.208594284096e-01,        -1.390999028297e-02,        +1.049677084886e-01,        -2.661640564216e-02,        +1.414213562373e-01,        +1.049677084886e-01,        -2.661640564216e-02,        +1.209997621620e-01,        -1.397312925107e-02
