        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.94000000e+02,        -6.833256062144e+00,        -1.124844171134e+01,        -2.511310373774e+00,        -1.015259306658e+02,        -2.511310373774e+00,        -1.015259306658e+02,        -6.836777914381e+00,        -1.101484828405e+01
 1.96000000e+02,        -7.015464377526e+00,        -1.475505600655e+01,        -2.467366404139e+00,        -1.058462195306e+02,        -2.467366404139e+00,        -1.058462195306e+02,        -7.018678028701e+00,        -1.451461676169e+01
 1.98000000e+02,        -7.253716882818e+00,        -1.826246038309e+01,        -2.413275304409e+00,        -1.102229533388e+02,        -2.413275304409e+00,        -1.102229533388e+02,        -7.256575555474e+00,        -1.801354066049e+01
 2.00000000e+02,        -7.553642707193e+00,        -2.176314366552e+01,        -2.350352386690e+00,        -1.146664624361e+02,        -2.350352386690e+00,        -1.146664624361e+02,        -7.556076462193e+00,        -2.150381394062e+01
 2.02000000e+02,        -7.922534894049e+00,        -2.524352332741e+01,        -2.280167309170e+00,        -1.191860104838e+02,        -2.280167309170e+00,        -1.191860104838e+02,        -7.924440848531e+00,        -2.497145588990e+01
 2.04000000e+02,        -8.369710899090e+00,        -2.868124516029e+01,        -2.204538130387e+00,        -1.237894923774e+02,        -2.204538130387e+00,        -1.237894923774e+02,        -8.370937547468e+00,        -2.839357188829e+01
 2.06000000e+02,        -8.907020667463e+00,        -3.204109425718e+01,        -2.125516121488e+00,        -1.284830918655e+02,        -2.125516121488e+00,        -1.284830918655e+02,        -8.907342101313e+00,        -3.173420624688e+01
 2.08000000e+02,        -9.549566837016e+00,        -3.526853086467e+01,        -2.045357871818e+00,        -1.332709110052e+02,        -2.045357871818e+00,        -1.332709110052e+02,        -9.548638882902e+00,        -3.493779080487e+01
 2.10000000e+02,        -1.031672856481e+01,        -3.827896772869e+01,        -1.966481411384e+00,        -1.381545933940e+02,        -1.966481411384e+00,        -1.381545933940e+02,        -1.031401098466e+01,        -3.791829258325e+01
 2.12000000e+02,        -1.123359596609e+01,        -4.093900154375e+01,        -1.891403879219e+00,        -1.431329738782e+02,        -1.891403879219e+00,        -1.431329738782e+02,        -1.122820757084e+01,        -4.054026200341e+01
 2.14000000e+02,        -1.233284350473e+01,        -4.303157239132e+01,        -1.822659858809e+00,        -1.482017974202e+02,        -1.822659858809e+00,        -1.482017974202e+02,        -1.232327701931e+01,        -4.258378078135e+01
 2.16000000e+02,        -1.365653655831e+01,        -4.418719861095e+01,        -1.762701930150e+00,        -1.533535563626e+02,        -1.762701930150e+00,        -1.533535563626e+02,        -1.364006362957e+01,        -4.367568351553e+01
 2.18000000e+02,        -1.525480280977e+01,        -4.374057288899e+01,        -1.713788084023e+00,        -1.585774953348e+02,        -1.713788084023e+00,        -1.585774953348e+02,        -1.522616972924e+01,        -4.314754235233e+01
 2.20000000e+02,        -1.716674725972e+01,        -4.042700709145e+01,        -1.677863951588e+00,        -1.638598237082e+02,        -1.677863951588e+00,        -1.638598237082e+02,        -1.711534867905e+01,        -3.974069269821e+01
